Dist,Name of school,Q.1,Q.2,Q.3,Q.4,Q.5.A,Q.6,Q.7,Q.8,Q.9,Q.10,Q.11,PT TOTAL CRITERION,% CRITERION,Total Population  ('000) as per 2011 census,Adolescent popn (10-19 yrs),Youth popn (10-19 yrs), SC Proportion to total pon- RURAL, SC Proportion to total pon- URBAN, SC Proportion to total pon- TOTAL, ST Proportion to total pon- RURAL, ST Proportion to total pon- URBAN, ST Proportion to total pon- TOTAL,GDDP at current prices (13-14),NDDP at current prices (13-14),GDDP at constant prices (13-14),NDDP at constant prices (13-14),Per captia Net District Domestic product  at current prices in Rs.,Average ( MPCE) (Rs at current Prices)- Total- Rural,Share of food in total expenditure (%)- Rural,Average ( MPCE) (Rs at current Prices)- Total- Urban,Share of food in total expenditure (%)- Urban,Ration - Yellow- BPL,Ration - Yellow- AAY,Ration - Saffron- APL,Annapurna,White,Total Ration Cards,Average per capita consumption per month (Rs. at current prices) Rural - 2005-05,Incidence of Poverty (%)- Rural - 2004-05,Lorenz Ratio (%) Rural - 2004-05,Average per capita consumption per month (Rs. at current prices) Urban - 2005-05,Incidence of Poverty (%)- Urban - 2004-05,Lorenz Ratio (%) Urban - 2004-05,Total  Road length (km)- 2013-14,Adolescent popn (10-19 yrs)- proportion  to workers as main workers ,Adolescent popn (10-19 yrs)- proportion  to workers as marginal workers ,Youth popn (10-19 yrs)- proportion  to workers as main workers ,Youth popn (10-19 yrs)- proportion  to workers as marginal workers ,HDI of Dist- 2001,HDI of Dist- 2011,HDI of Dist- relative status in 2001,HDI of Dist- relative status in 2011,IMR - 2010,Per Capita Health Expenditure- Rural - 2006-07- MHDR ,Per Capita Health Expenditure- Urban - 2006-07- MHDR ,Popn per sub centre in 2010-11,Popn per PHC  in 2010-11,Popn per RH in 2010-11,Popn per Govt Bed- 2009-10,Sex ratio of the district or block if data available ,Place of ANC- Govt Health Facility - 07-08,Place of ANC- Pvt Health Facility - 07-08,Place of ANC- Community Based Services - 07-08,Any ANC,Full Antenatal Care,Percentage of women who had institutional deliveries,Home Deliveries,Home deliveries assisted by skilled persons,% of safe deliveries,Child sex ratio (0-6 yrs),Avg HH size for NH ,Avg HH size for HH ,Literacy Rate - M,Literacy Rate - F,Literacy Rate - T,Literacy rate in SC,Literacy rate in ST,Adolescent popn (10-19 yrs)- Literate,Youth popn (10-19 yrs)- Literate,Schools havin sectionsy arupper prim,Schools having secondary sections ,ratio of schools with upper primary sections to secondary sections,Number of schools ( All)- 2009- MPSP,Number of Government secondary schools- 2009- MPSP,Number of Private aided schools- 2009-MPSP,Number of Private nuaided schools- 2009-MPSP,% of HH having Tap water as a source of drinking water- 2011,% of HH having Laterines within their premises- 2011,Unemployment rates in district OR Total unemployed in the age group 15-59 yrs,The pass % for  District in SSC-for the exam conducted in March 15,English medicum - if 1 - which standards,"Infrastructure of School- Pucca , katchha or semi pucca building",Infrastructure of School- 2 of classrooms,"Computer




1 __1

2  ____2","Internet Connectivity



1 __1

2  ____2","E- Learning Facility



1 __1

2  ____2","Toilets




1 __1

2  ____2","Toilets for females-



1 __1

2  ____2",Playground (available and dimensions),"Performace of school in sports -

Level (cluster,Block, District, State)

and



June 14 to May 15","Performace in extra-curricular




Level (Cluster,Block, District, State)




June 14- May 15","Local Trust or Board for Each School (school management committe;

Active:  4 and more than 4 meeting  in a 1r

Passive: less than 4 meeting in a 1r



June 14 to May 15","Passively following rules(incl COTPA) or is proactive-  ON THE BASIS OF TWO PARAMETERS WHICH SCHOOL CAN FOLLOW


Passive: not following  COTPA  with enthusiam etc



Proactive: Following COTPA with ensthusiam, taking initative


June 14 to May 15",Remark for active and passive,"Gender  of Principal


Male_____1
Feamle_____2


June 14- May 15","Age of Principal


June 14- May 15","Marital status of Principal

Single___1

Widowed__2

Married___3

Divorced___4



June 14-May 15","2 of children- to principal



June 14-May 15","Principal's spouse's EDucation


June 14-May 15","Principal's spouse is working

1___1

2___2

June 14-May 15","Describe the occupation of Principal's spouse


June 14-May 15","Can you tell us your monthly household income?

May not be possible __1

In Rs__________



June 14-May 15",Principal's highest level of qualification,"Principal sucessfully implemented any scheme in this school  ?


1___1

2___2",If sucessfully implemented scheme then please name the schemes,Principal's Number of  of schooling /education?,"Principal sucessfully implemented any scheme in  other  school  ?


1___1

2___2", If sucessfully implemented other scheme then please name the schemes,2 of  working as a principal  in this school ?,2 of 1 woking a a pincipal  in othe chool ?,"Principal internet savy

Very Good__1

Good______2

not at all good__3


June 14-May 15","Principal  use smat Phone


1____1

2_____2

June 14-May 15","Principal has ever used tobacco


1____1


2_____2

June 14-May 15","Principal and current Tobacco Use -



Principal Using Tobacco

1____1


2_____2

June 14-May 15","Principal - current user- daily quantiity

June 14-May 15","Any award to school from Govt in past 5 yrs
at level


 1. CRC- Cluster

2. Block

3. District


State


National",How Many Guest Lectures in School in Past 1r-June 14 to May 15,"Tobacco use is a problem among school adolescents and youth in this town

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","A tobacco free environment has a positive impact on school students

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","The school staff have
 not made any demand for a tobacco free enviornment in the school


Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","The school staff should not be forced to stop using tobacco

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","The school trustees play an active role in decisions around school programmes (Check wether schools of smf have trustees)

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Block level staff from the education department communicate with our school on a regular (atleast oince in 3 months)  basis about school curriculum related issues

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Block level staff from  the education or health department prepared our school staff in implementing the tobacco free programme

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Our staff received training in tobacco free schools

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","The school is a leader in terms of taking up extra-curricular programmes for its students

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","It is difficult to bring about any change in my school

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","The resistance to change in my school can be easily tackled

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Most of our teachers (more than 50%)  discuss any challenges related to school or students with me

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","I can easily discuss any ideas, schemes for change with my school teachers


Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Most of my school teachers (more than 50% ) are disintrested in the work of teaching

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Most of my school teachers (more than 50%) conduct private tuitions or coaching classes after school hrs.

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Most of my school teachers (more than 50%) take ownership to ensure that the school does well in academics

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Most of my school teachers (more than 50%) take ownership to ensure that the school does well in extra-curricular programmes

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Most of my school teachers (more than 50%) willingly participate in workshops or events for self- development

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Most of my school teachers (more than 50%) willingly participate in extra curricular activities organized for the welfare of the students

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","I have to issue memos or give verbal warnings every time to teachers to get any scheme or activities implemented in the school

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Most of our parents ( More than 50%) participate in school activities or events

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Parents of my school find tobacco use the biggest threat for  their children

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Majoirt (More than 50%)  of parents have requested me to implement tobacco free rules in the school

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","2 of Workshops
2. of Trainings

attended by teacher
June14 May 15","Awards to teachers from Govt in past 3 yrs


1____1


2_____2

","Is there a PTA
parent teachers association

1____1


2_____2

","Parental education- record for maximum parents

Codes - only one code  is possible  - Primary or Secondary or higher seconday, illiterate, literate without formal education, ",The pass % for  District in HSC-for the exam conducted in March 15,Performance of  district in education,Male Enrollment,Male Enrollment_2,Male Enrollment_3,Female Enrollment,Female  Enrollment,Female  Enrollment_4,Total  Enrollment,Total Enrolment,Total Enrolment_5,Percent of tribal or caste related students in the school,"Male -no of Teachers




June 14 to May 15","Female -no of teachers




June 14 to May 15",Teacher student ratio,Male to female teacher ratio,no of blank columns
Ratnagiri,Z.P.P.School ndvere,1,1,1,1,0,0,0,0,0,0,0,4,36.4,1615,19.1,16.7,4.3,3.6,4.1,1.4,0.6,1.3,19365,17294,11526,10236,90226,638.2,47.3,1098.8,44,72606,42648,261716,853,39658,417481,638.2,16.6,40.1,1098.8,29.6,39.3,8355,2.8,2.3,9,4.4,0.6,0.7,High,High,32,165,361,4259,24031,134170,1294.9,1122,57.9,43.1,0.7,96.3,37.2,73.3,26.5,3.4,76.7,936,4.1,3.8,90.9,74.5,82.2,82.5,65.1,98.4,97.3,1480,392,3.8,386,4,311,71,60.5,69.4,357123,96.3,,,,,,,,,,,none,,,active,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
Ratnagiri,A.G High school Dapoli,1,1,1,0,1,1,0,0,0,1,0,6,54.5,1615,19.1,16.7,4.3,3.6,4.1,1.4,0.6,1.3,19365,17294,11526,10236,90226,638.2,47.3,1098.8,44,72606,42648,261716,853,39658,417481,638.2,16.6,40.1,1098.8,29.6,39.3,8355,2.8,2.3,9,4.4,0.6,0.7,High,High,32,165,361,4259,24031,134170,1294.9,1122,57.9,43.1,0.7,96.3,37.2,73.3,26.5,3.4,76.7,936,4.1,3.8,90.9,74.5,82.2,82.5,65.1,98.4,97.3,1480,392,3.8,386,4,311,71,60.5,69.4,357123,96.3,,,,,,,,,,,none,,,active,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
Satara,Z.P.School Rajani ,1,1,1,0,1,0,1,0,0,0,1,6,54.5,3004,18,18.1,10.2,13.3,10.8,0.9,1.3,1,32799,29853,19110,17295,93518,637.7,54.4,1566.2,36.7,124152,34833,498211,1680,52291,711167,637.7,9,33.3,1566.2,23.4,54.6,10947,3.1,1.3,10.3,2.7,0.7,0.7,Very High,High,26,149,187,6804,38334,151206,2463.4,988,27.4,74.6,1.3,98.8,55.5,87.4,12.3,3.5,90.9,895,4.6,3.7,89.4,76.3,82.9,79.5,73,96.1,95.3,1550,704,2.2,697,19,527,151,73.4,,709220,95.2,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Dhule,Z.P.P.School Rojgaon ,1,1,1,1,1,1,0,0,1,0,1,8,72.7,2051,20.2,18.7,5.6,7.9,6.2,41.1,6.9,31.6,18867,17049,10770,9693,85706,489.7,56.6,753.6,47.8,143874,75482,202729,1718,101112,433915,489.7,27.1,31.9,753.6,48.9,43,6181,6.6,1.9,15,2.9,0.6,0.7,Low,Low,31,181,385,6397,36200,185523,1482.5,946,43.2,43.7,4,76.2,25.7,50.5,48,8.9,59.4,898,4.9,4.6,79.5,65.8,72.8,75.4,50.9,88.4,84.6,620,446,1.4,450,17,403,30,83.9,,407702,91.4,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
Kolhapur,Knya Vidyamndir Umlwad,1,1,1,1,0,1,1,1,1,1,0,9,81.8,3876,17.9,18.4,13.4,12.1,13,0.8,0.6,0.8,54630,49525,33079,29789,119783,626.7,54,873.2,47.2,148371,56286,641442,181,93708,939988,626.7,10.6,36.5,873.2,40.1,38.1,7758,2.9,1.1,10.7,2.5,0.7,0.8,Very High,Very High,22,153,201,6722,38560,138814,1865.5,957,39,64.4,0.8,97.4,37.4,89,10.1,3.6,92.6,863,4.6,3.4,88.6,74.2,81.5,77.8,80,96.1,95.5,1675,867,1.9,847,11,690,146,85.4,,990339,95.6,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Kolhapur,Vdidya Mandir Baweli ,1,1,1,1,1,1,0,0,1,1,1,9,81.8,3876,17.9,18.4,13.4,12.1,13,0.8,0.6,0.8,54630,49525,33079,29789,119783,626.7,54,873.2,47.2,148371,56286,641442,181,93708,939988,626.7,10.6,36.5,873.2,40.1,38.1,7758,2.9,1.1,10.7,2.5,0.7,0.8,Very High,Very High,22,153,201,6722,38560,138814,1865.5,957,39,64.4,0.8,97.4,37.4,89,10.1,3.6,92.6,863,4.6,3.4,88.6,74.2,81.5,77.8,80,96.1,95.5,1675,867,1.9,847,11,690,146,85.4,,990339,95.6,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Kolhapur,vidyamndir Khede,0,1,0,0,0,0,0,0,0,0,0,1,9.1,3876,17.9,18.4,13.4,12.1,13,0.8,0.6,0.8,54630,49525,33079,29789,119783,626.7,54,873.2,47.2,148371,56286,641442,181,93708,939988,626.7,10.6,36.5,873.2,40.1,38.1,7758,2.9,1.1,10.7,2.5,0.7,0.8,Very High,Very High,22,153,201,6722,38560,138814,1865.5,957,39,64.4,0.8,97.4,37.4,89,10.1,3.6,92.6,863,4.6,3.4,88.6,74.2,81.5,77.8,80,96.1,95.5,1675,867,1.9,847,11,690,146,85.4,,990339,95.6,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Jalgaon,Z.P.Mrathi School Kolnhavi ,0,0,0,0,1,0,0,0,0,0,0,1,9.1,4230,19.7,19.1,9.3,9.1,9.2,18.6,5,14.3,38802,35239,22552,20369,81741,507.9,55.4,857.2,45.6,215734,136937,501934,2002,71344,927951,507.9,24.9,26.1,857.2,54.8,37.8,11263,5.4,1.5,14.4,2.8,0.6,0.7,Medium,High,28,144,80,6765,38834,149513,2174.8,925,32,44.7,1.7,80.3,29.3,53.1,46.7,12.1,65.2,842,4.7,4.2,85.4,70.6,78.2,73.7,58.9,92,89.6,1438,751,1.9,716,64,614,38,88.7,,941569,91.8,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Jalgaon,Z.P.Pmrathi School Borskeda (khu) ,0,0,0,0,1,0,0,0,0,0,0,1,9.1,4230,19.7,19.1,9.3,9.1,9.2,18.6,5,14.3,38802,35239,22552,20369,81741,507.9,55.4,857.2,45.6,215734,136937,501934,2002,71344,927951,507.9,24.9,26.1,857.2,54.8,37.8,11263,5.4,1.5,14.4,2.8,0.6,0.7,Medium,High,28,144,80,6765,38834,149513,2174.8,925,32,44.7,1.7,80.3,29.3,53.1,46.7,12.1,65.2,842,4.7,4.2,85.4,70.6,78.2,73.7,58.9,92,89.6,1438,751,1.9,716,64,614,38,88.7,,941569,91.8,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Yavatmal,Z.P.U.P.School Kawadipur Block Pusad Dis.Yawatmal,1,0,0,0,0,0,0,0,0,0,0,1,9.1,2772,20.7,19.7,11.5,13.2,11.8,21.8,6.7,18.5,20481,18689,11559,10456,66287,485.9,49.4,764.6,40.4,133095,132834,286257,2642,11087,567915,485.9,33.4,30.9,764.6,59.4,40.9,8568,6,1.5,14.5,3,0.6,0.7,Medium,Medium,21,159,418,5351,36949,136927,1728.6,952,36.6,51,3.4,88,28.7,53.4,45.1,6,59.4,922,4.3,3.4,89.4,75.9,82.8,82.8,76.1,96.8,95.3,1452,615,2.4,630,76,471,83,43.9,,540673,84.9,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Primary, secondary",,,,,,,,,,,,,,,,,79
Ratnagiri,Z.P.P.School Vilavne,1,1,0,0,0,0,0,0,0,0,0,2,18.2,1615,19.1,16.7,4.3,3.6,4.1,1.4,0.6,1.3,19365,17294,11526,10236,90226,638.2,47.3,1098.8,44,72606,42648,261716,853,39658,417481,638.2,16.6,40.1,1098.8,29.6,39.3,8355,2.8,2.3,9,4.4,0.6,0.7,High,High,32,165,361,4259,24031,134170,1294.9,1122,57.9,43.1,0.7,96.3,37.2,73.3,26.5,3.4,76.7,936,4.1,3.8,90.9,74.5,82.2,82.5,65.1,98.4,97.3,1480,392,3.8,386,4,311,71,60.5,69.4,357123,96.3,,,,,,,,,,,none,,,active,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
Jalgaon,Z.P.Hig School Mohadi ,0,1,0,0,1,0,0,0,0,0,0,2,18.2,4230,19.7,19.1,9.3,9.1,9.2,18.6,5,14.3,38802,35239,22552,20369,81741,507.9,55.4,857.2,45.6,215734,136937,501934,2002,71344,927951,507.9,24.9,26.1,857.2,54.8,37.8,11263,5.4,1.5,14.4,2.8,0.6,0.7,Medium,High,28,144,80,6765,38834,149513,2174.8,925,32,44.7,1.7,80.3,29.3,53.1,46.7,12.1,65.2,842,4.7,4.2,85.4,70.6,78.2,73.7,58.9,92,89.6,1438,751,1.9,716,64,614,38,88.7,,941569,91.8,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Jalgaon,Z.P.P.School Narvel,0,1,0,0,1,0,0,0,0,0,0,2,18.2,4230,19.7,19.1,9.3,9.1,9.2,18.6,5,14.3,38802,35239,22552,20369,81741,507.9,55.4,857.2,45.6,215734,136937,501934,2002,71344,927951,507.9,24.9,26.1,857.2,54.8,37.8,11263,5.4,1.5,14.4,2.8,0.6,0.7,Medium,High,28,144,80,6765,38834,149513,2174.8,925,32,44.7,1.7,80.3,29.3,53.1,46.7,12.1,65.2,842,4.7,4.2,85.4,70.6,78.2,73.7,58.9,92,89.6,1438,751,1.9,716,64,614,38,88.7,,941569,91.8,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Jalgaon,Z.P.P.School Untavad ,0,0,0,0,1,0,0,0,0,0,1,2,18.2,4230,19.7,19.1,9.3,9.1,9.2,18.6,5,14.3,38802,35239,22552,20369,81741,507.9,55.4,857.2,45.6,215734,136937,501934,2002,71344,927951,507.9,24.9,26.1,857.2,54.8,37.8,11263,5.4,1.5,14.4,2.8,0.6,0.7,Medium,High,28,144,80,6765,38834,149513,2174.8,925,32,44.7,1.7,80.3,29.3,53.1,46.7,12.1,65.2,842,4.7,4.2,85.4,70.6,78.2,73.7,58.9,92,89.6,1438,751,1.9,716,64,614,38,88.7,,941569,91.8,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Dhule,Z.P.P.School Shenpur ,1,0,0,0,0,0,0,0,1,0,1,3,27.3,2051,20.2,18.7,5.6,7.9,6.2,41.1,6.9,31.6,18867,17049,10770,9693,85706,489.7,56.6,753.6,47.8,143874,75482,202729,1718,101112,433915,489.7,27.1,31.9,753.6,48.9,43,6181,6.6,1.9,15,2.9,0.6,0.7,Low,Low,31,181,385,6397,36200,185523,1482.5,946,43.2,43.7,4,76.2,25.7,50.5,48,8.9,59.4,898,4.9,4.6,79.5,65.8,72.8,75.4,50.9,88.4,84.6,620,446,1.4,450,17,403,30,83.9,,407702,91.4,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
Sangali,Vidya vikas Madal reha,1,1,0,1,1,0,0,0,0,0,1,5,45.5,2822,18.3,18.2,12,14,12.5,0.6,0.8,0.6,34117,31070,20042,18153,103588,583.9,55.7,685.9,53,69604,35605,486125,1007,73360,665701,583.9,12.1,33.9,685.9,61.7,34.1,10245,3.6,1.2,11.4,2.4,0.7,0.7,Very High,Very High,20,131,355,6963,37767,148549,2176.3,966,47.8,55,1.4,97.3,49.7,76.1,24.3,2.8,78.9,867,4.7,3.6,88.2,74.6,81.5,78,76.2,96.1,95.1,1157,602,1.9,615,2,528,85,67.3,,706036,94.4,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Nagpur,"Z. P. U. Pri. School, Bichawa",1,1,1,1,0,0,0,0,1,0,0,5,45.5,4654,18,19.3,15.9,19.9,18.6,13.6,7.5,9.4,70183,63114,43170,38703,123610,507.7,52.1,1040.9,38.8,136894,100612,436116,6902,69339,749863,507.7,30.3,34.5,1040.9,36.8,39.5,8920,3.1,1.1,10.9,2.6,0.7,0.8,Very High,Very High,34,430,477,5325,34340,129434,1417.8,951,55.8,46.8,4,98.2,44.9,82.2,18.1,2.2,84.4,931,4.4,3.1,92.1,84.5,88.4,88.5,82.2,97.1,96.7,1733,919,1.9,877,68,645,164,76.4,,1378306,88.9,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Kolhapur,Z.P.School 2.2 Herle.,1,1,1,1,1,0,0,0,0,1,0,6,54.5,3876,17.9,18.4,13.4,12.1,13,0.8,0.6,0.8,54630,49525,33079,29789,119783,626.7,54,873.2,47.2,148371,56286,641442,181,93708,939988,626.7,10.6,36.5,873.2,40.1,38.1,7758,2.9,1.1,10.7,2.5,0.7,0.8,Very High,Very High,22,153,201,6722,38560,138814,1865.5,957,39,64.4,0.8,97.4,37.4,89,10.1,3.6,92.6,863,4.6,3.4,88.6,74.2,81.5,77.8,80,96.1,95.5,1675,867,1.9,847,11,690,146,85.4,,990339,95.6,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Kolhapur,Asharam School Palswe,1,1,1,1,1,0,1,0,1,0,0,7,63.6,3876,17.9,18.4,13.4,12.1,13,0.8,0.6,0.8,54630,49525,33079,29789,119783,626.7,54,873.2,47.2,148371,56286,641442,181,93708,939988,626.7,10.6,36.5,873.2,40.1,38.1,7758,2.9,1.1,10.7,2.5,0.7,0.8,Very High,Very High,22,153,201,6722,38560,138814,1865.5,957,39,64.4,0.8,97.4,37.4,89,10.1,3.6,92.6,863,4.6,3.4,88.6,74.2,81.5,77.8,80,96.1,95.5,1675,867,1.9,847,11,690,146,85.4,,990339,95.6,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Dhule,Z.P.P.Marathi School Nijampur,1,1,1,1,1,0,0,0,1,0,1,7,63.6,2051,20.2,18.7,5.6,7.9,6.2,41.1,6.9,31.6,18867,17049,10770,9693,85706,489.7,56.6,753.6,47.8,143874,75482,202729,1718,101112,433915,489.7,27.1,31.9,753.6,48.9,43,6181,6.6,1.9,15,2.9,0.6,0.7,Low,Low,31,181,385,6397,36200,185523,1482.5,946,43.2,43.7,4,76.2,25.7,50.5,48,8.9,59.4,898,4.9,4.6,79.5,65.8,72.8,75.4,50.9,88.4,84.6,620,446,1.4,450,17,403,30,83.9,,407702,91.4,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
Kolhapur,Vdidya Mandir Sheloshi,1,1,1,1,0,0,1,0,1,1,1,8,72.7,3876,17.9,18.4,13.4,12.1,13,0.8,0.6,0.8,54630,49525,33079,29789,119783,626.7,54,873.2,47.2,148371,56286,641442,181,93708,939988,626.7,10.6,36.5,873.2,40.1,38.1,7758,2.9,1.1,10.7,2.5,0.7,0.8,Very High,Very High,22,153,201,6722,38560,138814,1865.5,957,39,64.4,0.8,97.4,37.4,89,10.1,3.6,92.6,863,4.6,3.4,88.6,74.2,81.5,77.8,80,96.1,95.5,1675,867,1.9,847,11,690,146,85.4,,990339,95.6,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Kolhapur,Vdidya Mandir Lodhe,1,1,1,1,1,1,1,0,1,0,0,8,72.7,3876,17.9,18.4,13.4,12.1,13,0.8,0.6,0.8,54630,49525,33079,29789,119783,626.7,54,873.2,47.2,148371,56286,641442,181,93708,939988,626.7,10.6,36.5,873.2,40.1,38.1,7758,2.9,1.1,10.7,2.5,0.7,0.8,Very High,Very High,22,153,201,6722,38560,138814,1865.5,957,39,64.4,0.8,97.4,37.4,89,10.1,3.6,92.6,863,4.6,3.4,88.6,74.2,81.5,77.8,80,96.1,95.5,1675,867,1.9,847,11,690,146,85.4,,990339,95.6,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Washim,z.p. Rajgaove,1,1,1,0,1,0,1,0,1,1,1,8,72.7,1197,21.1,19.5,20.3,13.8,19.2,7.9,1.5,6.7,10338,9522,5103,4643,81568,516.5,55.5,653.7,49.4,151572,40624,79166,1925,12915,286202,516.5,23.2,32.6,653.7,60.3,41.8,3020,5.7,1.3,14.9,2.8,0.6,0.6,Low,Low,38,145,40,6715,41098,146779,2953.6,930,23.7,54.5,2.1,95.8,23,65.2,34.7,6.8,72,863,4.6,4.1,90.5,75.5,83.2,80.5,74.7,97.1,95.6,634,285,2.2,278,13,219,46,41.1,,224736,89,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Kolhapur,Vidya mandir Harwade,1,1,1,1,1,1,1,0,1,0,1,9,81.8,3876,17.9,18.4,13.4,12.1,13,0.8,0.6,0.8,54630,49525,33079,29789,119783,626.7,54,873.2,47.2,148371,56286,641442,181,93708,939988,626.7,10.6,36.5,873.2,40.1,38.1,7758,2.9,1.1,10.7,2.5,0.7,0.8,Very High,Very High,22,153,201,6722,38560,138814,1865.5,957,39,64.4,0.8,97.4,37.4,89,10.1,3.6,92.6,863,4.6,3.4,88.6,74.2,81.5,77.8,80,96.1,95.5,1675,867,1.9,847,11,690,146,85.4,,990339,95.6,,,,,,,,,,,none,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
